,name,category,year,birth_date,birth_country,death_date,prize_share,affiliation,motivation,uni_region,uni_country,founding_year,uni_rank,wiki_summary,wiki_url,wiki_other_languages,wiki_category,amount_wiki_categories,amount_NYT_articles
0,Alain Aspect,The Nobel Prize in Physics,2022,1947,France,, 1/3 ,"Institut d’Optique Graduate School – Université Paris-Saclay, Paris, France; École Polytechnique, Palaiseau, France "," “for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science” ",,,,,"Alain Aspect (French: [aspɛ] (listen); born 15 June 1947) is a French physicist noted for his experimental work on quantum entanglement.Aspect was awarded the 2022 Nobel Prize in Physics, jointly with John Clauser and Anton Zeilinger, ""for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science"".",https://en.wikipedia.org/wiki/Alain_Aspect,51,"['1947 births', 'Academic staff of École Polytechnique', 'Albert Einstein Medal recipients', 'Articles with BIBSYS identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CINII identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with Google Scholar identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with KBR identifiers', 'Articles with LCCN identifiers', 'Articles with NKC identifiers', 'Articles with NTA identifiers', 'Articles with ORCID identifiers', 'Articles with SUDOC identifiers', 'Articles with Scopus identifiers', 'Articles with Trove identifiers', 'Articles with VIAF identifiers', 'Articles with ZBMATH identifiers', 'Articles with hAudio microformats', 'Articles with hCards', 'Articles with short description', 'Commons link is defined as the pagename', 'Fellows of the American Physical Society', 'Foreign Members of the Royal Society', 'Foreign associates of the National Academy of Sciences', 'French Nobel laureates', 'French physicists', 'Living people', 'Members of Academia Europaea', 'Members of the Austrian Academy of Sciences', 'Members of the French Academy of Sciences', 'Members of the Royal Academy of Belgium', 'Niels Bohr International Gold Medal recipients', 'Nobel laureates in Physics', 'People from Agen', 'Research directors of the French National Centre for Scientific Research', 'Short description matches Wikidata', 'UNESCO Niels Bohr Medal recipients', 'Use dmy dates from October 2022', 'Wolf Prize in Physics laureates', 'École Normale Supérieure alumni']",45,16
1,John F. Clauser,The Nobel Prize in Physics,2022,1942,USA,, 1/3 ,"J.F. Clauser & Assoc., Walnut Creek, CA, USA "," “for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science” ",,,,,"John Francis Clauser (; born December 1, 1942) is an American theoretical and experimental physicist known for contributions to the foundations of quantum mechanics, in particular the Clauser–Horne–Shimony–Holt inequality.Clauser was awarded the 2022 Nobel Prize in Physics, jointly with Alain Aspect and Anton Zeilinger ""for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science"".",https://en.wikipedia.org/wiki/John_Clauser,46,"['1942 births', '20th-century American physicists', '21st-century American physicists', 'American Nobel laureates', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with Google Scholar identifiers', 'Articles with Scopus identifiers', 'Articles with VIAF identifiers', 'Articles with ZBMATH identifiers', 'Articles with hCards', 'Articles with short description', 'CS1 Korean-language sources (ko)', 'Columbia Graduate School of Arts and Sciences alumni', 'Commons category link is on Wikidata', 'Living people', 'Nobel laureates in Physics', 'Nobelprize template using Wikidata property P8024', 'People from Pasadena, California', 'Short description is different from Wikidata', 'University of California, Berkeley staff', 'Use mdy dates from October 2022', 'Wolf Prize in Physics laureates']",23,6
2,Anton Zeilinger,The Nobel Prize in Physics,2022,1945,Austria,, 1/3 ,"University of Vienna, Vienna, Austria; Institute for Quantum Optics and Quantum Information, Austrian Academy of Sciences, Vienna, Austria "," “for experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science” ",Western Europe,Austria,1365,  151-200 ,"Anton Zeilinger (German: [ˈanton ˈtsaɪlɪŋɐ]; born 20 May 1945) is an Austrian quantum physicist and Nobel laureate in physics of 2022. Zeilinger is professor of physics emeritus at the University of Vienna and senior scientist at the Institute for Quantum Optics and Quantum Information of the Austrian Academy of Sciences. Most of his research concerns the fundamental aspects and applications of quantum entanglement.
In 2007, Zeilinger received the first Inaugural Isaac Newton Medal of the Institute of Physics, London, for ""his pioneering conceptual and experimental contributions to the foundations of quantum physics, which have become the cornerstone for the rapidly-evolving field of quantum information"". In October 2022, he received the Nobel Prize in Physics, jointly with Alain Aspect and John Clauser for their work involving experiments with entangled photons, establishing the violation of Bell inequalities and pioneering quantum information science.",https://en.wikipedia.org/wiki/Anton_Zeilinger,47,"['1945 births', 'Academic staff of TU Wien', 'Academic staff of the Collège de France', 'Academic staff of the Humboldt University of Berlin', 'Academic staff of the Technical University of Munich', 'Academic staff of the University of Innsbruck', 'Academic staff of the University of Vienna', 'Articles with BIBSYS identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CANTICN identifiers', 'Articles with CINII identifiers', 'Articles with DBLP identifiers', 'Articles with DTBIO identifiers', 'Articles with GND identifiers', 'Articles with Google Scholar identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with Leopoldina identifiers', 'Articles with MATHSN identifiers', 'Articles with MGP identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NLK identifiers', 'Articles with NTA identifiers', 'Articles with ORCID identifiers', 'Articles with PLWABN identifiers', 'Articles with SUDOC identifiers', 'Articles with Scopus identifiers', 'Articles with VIAF identifiers', 'Articles with ZBMATH identifiers', 'Articles with hCards', 'Articles with short description', 'Austrian Nobel laureates', 'Austrian physicists', 'CS1 Czech-language sources (cs)', 'CS1 German-language sources (de)', 'Commons category link from Wikidata', 'European Research Council grantees', 'Fellows of Merton College, Oxford', 'Fellows of the American Physical Society', 'Foreign Members of the Russian Academy of Sciences', 'Foreign associates of the National Academy of Sciences', 'Foreign members of the Chinese Academy of Sciences', 'Knights Commander of the Order of Merit of the Federal Republic of Germany', 'Living people', 'Massachusetts Institute of Technology faculty', 'Members of the Austrian Academy of Sciences', 'Members of the European Academy of Sciences and Arts', 'Members of the French Academy of Sciences', 'Members of the Serbian Academy of Sciences and Arts', 'Nobel laureates in Physics', 'Nobelprize template using Wikidata property P8024', 'People from Ried im Innkreis District', 'Quantum physicists', 'Recipients of the Austrian Decoration for Science and Art', 'Recipients of the Pour le Mérite (civil class)', 'Short description matches Wikidata', 'Slovak academics', 'Use dmy dates from October 2022', 'Webarchive template wayback links', 'Wolf Prize in Physics laureates']",63,19
3,Carolyn R. Bertozzi,The Nobel Prize in Chemistry,2022,1966,USA,, 1/3 ,"Stanford University, Stanford, CA, USA; Howard Hughes Medical Institute, USA ", “for the development of click chemistry and bioorthogonal chemistry” ,Northern America,United States,1885,  2  ,"Carolyn Ruth Bertozzi (born October 10, 1966) is an American chemist and Nobel laureate, known for her wide-ranging work spanning both chemistry and biology. She coined the term ""bioorthogonal chemistry"" for chemical reactions compatible with living systems. Her recent efforts include synthesis of chemical tools to study cell surface sugars called glycans and how they affect diseases such as cancer, inflammation, and viral infections like COVID-19.  At Stanford University, she holds the Anne T. and Robert M. Bass Professorship in the School of Humanities and Sciences. Bertozzi is also an Investigator at the Howard Hughes Medical Institute (HHMI) and is the former director of the Molecular Foundry, a nanoscience research center at Lawrence Berkeley National Laboratory.She received the MacArthur ""genius"" award at age 33. In 2010, she was the first woman to receive the prestigious Lemelson–MIT Prize faculty award. She is a member of the National Academy of Sciences (2005), the Institute of Medicine (2011), and the National Academy of Inventors (2013). In 2014, it was announced that Bertozzi would lead ACS Central Science, the American Chemical Society's first peer-reviewed open access journal, which offers all content free to the public. Since 2021 she has been a member of the Accademia dei Lincei.
As an open lesbian in academia and science, Bertozzi has been a role model for students and colleagues.Bertozzi was awarded the 2022 Nobel Prize in Chemistry, jointly with Morten P. Meldal and Karl Barry Sharpless, ""for the development of click chemistry and bioorthogonal chemistry"".",https://en.wikipedia.org/wiki/Carolyn_Bertozzi,55,"['1966 births', '21st-century American LGBT people', '21st-century American chemists', '21st-century American women', 'All Wikipedia articles written in American English', 'All articles with unsourced statements', 'American LGBT academics', 'American LGBT scientists', 'American people of Italian descent', 'American women chemists', 'Articles with BIBSYS identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CINII identifiers', 'Articles with DBLP identifiers', 'Articles with FAST identifiers', 'Articles with GND identifiers', 'Articles with Google Scholar identifiers', 'Articles with ISNI identifiers', 'Articles with LCCN identifiers', 'Articles with Leopoldina identifiers', 'Articles with MusicBrainz identifiers', 'Articles with ORCID identifiers', 'Articles with PLWABN identifiers', 'Articles with SUDOC identifiers', 'Articles with VIAF identifiers', 'Articles with hCards', 'Articles with short description', 'Articles with unsourced statements from June 2021', 'Bijvoet Medal recipients', 'CS1 Italian-language sources (it)', 'Chemists from Massachusetts', 'Commons category link is on Wikidata', 'Fellows of the American Academy of Arts and Sciences', 'Fellows of the American Academy of Microbiology', 'Foreign Members of the Royal Society', 'Harvard College alumni', 'Howard Hughes Medical Investigators', 'LGBT Nobel laureates', 'LGBT people from Massachusetts', 'Lawrence Berkeley National Laboratory people', 'Living people', 'MacArthur Fellows', 'Members of the German National Academy of Sciences Leopoldina', 'Members of the National Academy of Medicine', 'Members of the United States National Academy of Sciences', 'Nobel laureates in Chemistry', 'Nobelprize template using Wikidata property P8024', 'Official website different in Wikidata and Wikipedia', 'Recipients of the Presidential Early Career Award for Scientists and Engineers', 'Short description matches Wikidata', 'Stanford University Department of Chemistry faculty', 'UC Berkeley College of Chemistry alumni', 'UC Berkeley College of Chemistry faculty', 'University of California, San Francisco alumni', 'Use American English from October 2022', 'Use mdy dates from October 2022', 'Women Nobel laureates']",58,6
4,Morten Meldal,The Nobel Prize in Chemistry,2022,1954,Denmark,, 1/3 ,"University of Copenhagen, Copenhagen, Denmark ", “for the development of click chemistry and bioorthogonal chemistry” ,Northern Europe,Denmark,1479,  39 ,"Morten Peter Meldal (born 16 January 1954) is a Danish chemist and Nobel laureate. He is a professor of chemistry at the University of Copenhagen in Copenhagen, Denmark. He is best known for developing the CuAAC-click reaction, concurrently with but independent of Valery V. Fokin and K. Barry Sharpless.",https://en.wikipedia.org/wiki/Morten_P._Meldal,39,"['1954 births', '21st-century Danish scientists', '21st-century chemists', 'Academic staff of the Technical University of Denmark', 'Academic staff of the University of Copenhagen', 'Articles with GND identifiers', 'Articles with Google Scholar identifiers', 'Articles with ORCID identifiers', 'Articles with Publons identifiers', 'Articles with RID identifiers', 'Articles with Scopus identifiers', 'Articles with VIAF identifiers', 'Articles with hCards', 'Articles with short description', 'Carlsberg Laboratory staff', 'Danish chemists', 'Living people', 'Nobel laureates in Chemistry', 'Nobelprize template using Wikidata property P8024', 'Short description matches Wikidata', 'Technical University of Denmark alumni', 'Use British English from October 2022', 'Use dmy dates from October 2022']",23,4
5,K. Barry Sharpless,The Nobel Prize in Chemistry,2022,1941,USA,, 1/3 ,"Scripps Research, La Jolla, CA, USA ", “for the development of click chemistry and bioorthogonal chemistry” ,,,,,"Karl Barry Sharpless (born April 28, 1941) is an American chemist and a two-time Nobel laureate in Chemistry known for his work on stereoselective reactions and click chemistry.
Sharpless was awarded half of the 2001 Nobel Prize in Chemistry ""for his work on chirally catalysed oxidation reactions"", and one third of the 2022 prize, jointly with Carolyn R. Bertozzi and Morten P. Meldal, ""for the development of click chemistry and bioorthogonal chemistry"". Sharpless is the fifth person (in addition to two organizations), to have twice been awarded a Nobel prize, along with Marie Curie, John Bardeen, Linus Pauling and Frederick Sanger, and the third to have been awarded two prizes in the same discipline (after Bardeen and Sanger).",https://en.wikipedia.org/wiki/Karl_Barry_Sharpless,56,"['1941 births', '21st-century American chemists', 'All Wikipedia articles written in American English', 'All articles containing potentially dated statements', 'All articles with unsourced statements', 'American Nobel laureates', 'Articles containing potentially dated statements from 2022', 'Articles with BIBSYS identifiers', 'Articles with CINII identifiers', 'Articles with DBLP identifiers', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with Libris identifiers', 'Articles with NLA identifiers', 'Articles with NTA identifiers', 'Articles with ORCID identifiers', 'Articles with SUDOC identifiers', 'Articles with Scopus identifiers', 'Articles with Trove identifiers', 'Articles with VIAF identifiers', 'Articles with hCards', 'Articles with short description', 'Articles with unsourced statements from December 2022', 'CS1 maint', 'Dartmouth College alumni', 'Foreign members of the Chinese Academy of Sciences', ""Friends' Central School alumni"", 'Harvard University alumni', 'Living people', 'Massachusetts Institute of Technology School of Science faculty', 'Members of the United States National Academy of Sciences', 'Nobel laureates in Chemistry', 'Nobel laureates with multiple Nobel awards', 'Nobelprize template using Wikidata property P8024', 'Organic chemists', 'Scientists from Philadelphia', 'Scripps Research faculty', 'Short description matches Wikidata', 'Stanford University alumni', 'Stereochemists', 'Use American English from October 2022', 'Use mdy dates from January 2017', 'Wolf Prize in Chemistry laureates']",45,9
6,Svante Pääbo,The Nobel Prize in Physiology or Medicine,2022,1955,Sweden,, 1/1 ,"Max Planck Institute for Evolutionary Anthropology, Leipzig, Germany; Okinawa Institute of Science and Technology, Okinawa, Japan ", “for his discoveries concerning the genomes of extinct hominins and human evolution” ,,,,,"Svante Pääbo  (Swedish: [ˈsvânːtɛ̂ ˈpʰɛ̌ːbʊ̂]; born 20 April 1955) is a Swedish geneticist and Nobel Laureate who specialises in the field of evolutionary genetics. As one of the founders of paleogenetics, he has worked extensively on the Neanderthal genome. In 1997, he became founding director of the Department of Genetics at the Max Planck Institute for Evolutionary Anthropology in Leipzig, Germany. Since 1999, he has been an honorary professor at Leipzig University; he currently teaches molecular evolutionary biology at the university. He is also an adjunct professor at Okinawa Institute of Science and Technology, Japan.In 2022, he was awarded the Nobel Prize in Physiology or Medicine ""for his discoveries concerning the genomes of extinct hominins and human evolution"".",https://en.wikipedia.org/wiki/Svante_P%C3%A4%C3%A4bo,60,"['1955 births', 'All articles containing potentially dated statements', 'Articles containing potentially dated statements from October 2022', 'Articles with BIBSYS identifiers', 'Articles with BNE identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CINII identifiers', 'Articles with GND identifiers', 'Articles with Google Scholar identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with KBR identifiers', 'Articles with LCCN identifiers', 'Articles with LNB identifiers', 'Articles with Leopoldina identifiers', 'Articles with Libris identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NLK identifiers', 'Articles with NTA identifiers', 'Articles with ORCID identifiers', 'Articles with PLWABN identifiers', 'Articles with PortugalA identifiers', 'Articles with SUDOC identifiers', 'Articles with Scopus identifiers', 'Articles with VIAF identifiers', 'Articles with hCards', 'Articles with short description', 'Bisexual academics', 'Bisexual scientists', 'CS1 Estonian-language sources (et)', 'CS1 Swedish-language sources (sv)', 'CS1 maint', 'CS1 maint', 'Commons category link from Wikidata', 'Foreign Members of the Royal Society', 'Foreign associates of the National Academy of Sciences', 'Gottfried Wilhelm Leibniz Prize winners', 'Knights Commander of the Order of Merit of the Federal Republic of Germany', 'LGBT Nobel laureates', 'Living people', 'Max Planck Institute directors', 'Max Planck Institute for Evolutionary Anthropology', 'Members of the French Academy of Sciences', 'Members of the Royal Swedish Academy of Sciences', 'Nobel laureates in Physiology or Medicine', 'Nobelprize template using Wikidata property P8024', 'Pages containing links to subscription-only content', 'Pages using Template', 'Paleogeneticists', 'Population geneticists', 'Recipients of the Lomonosov Gold Medal', 'Recipients of the Order of the Cross of Terra Mariana, 3rd Class', 'Recipients of the Pour le Mérite (civil class)', 'Scientists from Stockholm', 'Short description matches Wikidata', 'Swedish LGBT scientists', 'Swedish Nobel laureates', 'Swedish bisexual people', 'Swedish geneticists', 'Swedish people of Estonian descent', 'Uppsala University alumni', 'Use British English from October 2022', 'Use dmy dates from October 2022', 'Webarchive template wayback links']",66,83
7,Annie Ernaux,The Nobel Prize in Literature,2022,1940,France,, 1/1 ,," “for the courage and clinical acuity with which she uncovers the roots, estrangements and collective restraints of personal memory” ",,,,,"Annie Thérèse Blanche Ernaux (née Duchesne; born 1 September 1940) is a French writer who was awarded the 2022 Nobel Prize in Literature ""for the courage and clinical acuity with which she uncovers the roots, estrangements and collective restraints of personal memory"". Her literary work, mostly autobiographical, maintains close links with sociology.",https://en.wikipedia.org/wiki/Annie_Ernaux,76,"['1940 births', '20th-century French novelists', '20th-century French women writers', '21st-century French novelists', '21st-century French women writers', 'Anti-Zionism in France', 'Articles with BIBSYS identifiers', 'Articles with BNE identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with CANTICN identifiers', 'Articles with CINII identifiers', 'Articles with DTBIO identifiers', 'Articles with FAST identifiers', 'Articles with French-language sources (fr)', 'Articles with GND identifiers', 'Articles with ICCU identifiers', 'Articles with ISNI identifiers', 'Articles with J9U identifiers', 'Articles with KBR identifiers', 'Articles with LCCN identifiers', 'Articles with LNB identifiers', 'Articles with Libris identifiers', 'Articles with MusicBrainz identifiers', 'Articles with NDL identifiers', 'Articles with NKC identifiers', 'Articles with NLA identifiers', 'Articles with NLG identifiers', 'Articles with NLK identifiers', 'Articles with NSK identifiers', 'Articles with NTA identifiers', 'Articles with PLWABN identifiers', 'Articles with PortugalA identifiers', 'Articles with SUDOC identifiers', 'Articles with Trove identifiers', 'Articles with VIAF identifiers', 'Articles with short description', 'CS1 French-language sources (fr)', 'CS1 Italian-language sources (it)', 'CS1 Persian-language sources (fa)', 'CS1 Spanish-language sources (es)', 'Commons category link from Wikidata', 'French Communist writers', 'French Nobel laureates', 'French feminist writers', 'French socialist feminists', 'French socialists', 'French women novelists', 'Living people', 'Nobel laureates in Literature', 'Nobelprize template using Wikidata property P8024', 'Official website different in Wikidata and Wikipedia', 'People from Lillebonne', 'Prix Renaudot winners', 'Short description matches Wikidata', 'University of Bordeaux alumni', 'University of Rouen Normandy alumni', 'Use British English from October 2022', 'Use dmy dates from October 2022', 'Webarchive template wayback links', 'Women Nobel laureates']",61,109
8,Ales Bialiatski,The Nobel Peace Prize,2022,1962,Russia,, 1/3 ,," “The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy” ",,,,,"Ales Viktaravich Bialiatski (Belarusian: Алесь Віктаравіч Бяляцкі, romanized: Alieś Viktaravič Bialiacki; born 25 September 1962) is a Belarusian pro-democracy activist and prisoner of conscience known for his work with the Viasna Human Rights Centre. An activist for Belarusian independence and democracy since the early 1980s, Bialiatski is a founding member of Viasna and the Belarusian Popular Front, serving as leader of the latter from 1996 to 1999. He is also a member of the Coordination Council of the Belarusian opposition. He has been called ""a pillar of the human rights movement in Eastern Europe"" by The New York Times, and recognised as a prominent pro-democracy activist in Belarus.
Bialiatski's defence of human rights in Belarus has brought him numerous international accolades. In 2020, he won the Right Livelihood Award, widely known as the ""Alternative Nobel Prize"". In 2022, Bialiatski was awarded the 2022 Nobel Peace Prize, along with the organisations Memorial and Centre for Civil Liberties.
Bialiatski has been imprisoned twice; firstly from 2011 to 2014, and currently since 2021, on both occasions on charges of tax evasion. Bialiatski, as well as other human rights activists, have called the charges politically motivated. 
On 3 March 2023, Bialiatski was sentenced in Minsk to ten years in prison for ""cash smuggling"" as well as ""financing actions and groups that grossly violated public order."" Human rights activists view the charges as fabricated in order to silence Bialiatski and his movement after he was awarded the Nobel Peace Prize.",https://en.wikipedia.org/wiki/Ales_Bialiatski,48,"['1962 births', 'All articles with dead external links', 'All articles with unsourced statements', 'Amnesty International prisoners of conscience held by Belarus', 'Articles containing Belarusian-language text', 'Articles with GND identifiers', 'Articles with ISNI identifiers', 'Articles with LCCN identifiers', 'Articles with NKC identifiers', 'Articles with PLWABN identifiers', 'Articles with SUDOC identifiers', 'Articles with VIAF identifiers', 'Articles with dead external links from May 2019', 'Articles with hCards', 'Articles with permanently dead external links', 'Articles with short description', 'Articles with unsourced statements from May 2023', 'Articles with unsourced statements from October 2022', 'Belarusian Nobel laureates', 'Belarusian Roman Catholics', 'Belarusian democracy activists', 'Belarusian dissidents', 'Belarusian human rights activists', 'Belarusian male writers', 'Belarusian prisoners and detainees', 'CS1 Russian-language sources (ru)', 'CS1 Spanish-language sources (es)', 'Instances of Lang-be using second unnamed parameter', 'International Federation for Human Rights', 'Living people', 'Nobel Peace Prize laureates', 'Nobelprize template using Wikidata property P8024', 'Per Anger Prize', 'Political prisoners according to Viasna Human Rights Centre', 'Short description is different from Wikidata', 'Soviet dissidents', 'Use dmy dates from October 2022']",37,15
9,Memorial,The Nobel Peace Prize,2022,,,, 1/3 ,," “The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy” ",,,,,"A memorial is an object or place which serves as a focus for the memory or the commemoration of something, usually an influential, deceased person or a historical, tragic event. Popular forms of memorials include landmark objects such as homes or other sites, or works of art such as sculptures, statues, fountains or parks. Larger memorials may be known as monuments.",https://en.wikipedia.org/wiki/Memorial,28,"['Articles with BNE identifiers', 'Articles with BNF identifiers', 'Articles with BNFdata identifiers', 'Articles with GND identifiers', 'Articles with J9U identifiers', 'Articles with LCCN identifiers', 'Articles with NARA identifiers', 'Articles with NKC identifiers', 'Articles with short description', 'Commons category link is locally defined', 'Monuments and memorials', 'Short description is different from Wikidata']",12,128013
