agreeableness,informal,swear,netspeak,assent,nonflu,filler,help,office,dance,money_empath,wedding,domestic_work,sleep,medical_emergency,cold,hate,cheerfulness,aggression,occupation,envy,anticipation_empath,family_empath,vacation,crime,attractive,masculine,prison,health_empath,pride,dispute,nervousness,government,weakness,horror,swearing_terms,leisure_empath,suffering,royalty,wealthy,tourism,furniture,school,magic,beach,journalism,morning,banking,social_media,exercise,night,kill,blue_collar_job,art,ridicule,play,computer,college,optimism,stealing,real_estate,home_empath,divine,sexual_empath,fear_empath,irritability,superhero,business,driving,pet,childish,cooking,exasperation,religion,hipster,internet,surprise_empath,reading,worship,leader,independence,movement,bodyr__empath,noise,eating,medieval,zest,confusion,water,sports,death_empath,healing,legend,heroic,celebration,restaurant,violence,programming,dominant_heirarchical,military,neglect,swimming,exotic,love,hiking,communication,hearing,order,sympathy,hygiene,weather,anonymity,trust_empath,ancient,deception,fabric,air_travel,fight,dominant_personality,music,vehicle,politeness,toy,farming,meeting,war,speaking,listen,urban,shopping,disgust_empath,fire,tool,phone,gain,sound,injury,sailing,rage,science,work_empath,appearance,valuable,warmth,youth,sadness_empath,fun,emotional,joy_empath,affection,traveling,fashion,ugliness,lust,shame,torment,economics,anger,politics,ship,clothing,car,strength,technology,breaking,shape_and_size,power_empath,white_collar_job,animal,party,terrorism,smell,disappointment,poor,plant,pain,beauty,timidity,philosophy,negotiate,negative_emotion,cleaning,messaging,competing,law,friends,payment,achievement,alcohol,liquid,feminine,weapon,children,monster,ocean,giving,contentment,writing,rural,positive_emotion,musical
0,2.063507142,0.469980315,0,1.436046512,0.157480315,0,0.186046512,0.15625,0,0,0.186046512,0,0,0.093023256,0.157480315,0,0.832386364,0.15625,0,0,0.519886364,0,0,0,0.093023256,0.093023256,0,0,0.3125,0.15625,0.157480315,0.15625,0.15625,0,0.313730315,0.093023256,0,0,0,0.15625,0,0,0,0,0,0,0.093023256,0.15625,0.15625,0,0.15625,0,0,0.15625,0.744186047,0,0,1.462307623,0,0,0,0.157480315,0.186046512,0,0,0,1.955932875,0,0.15625,0.676136364,0,0,0.313730315,0,0,0.519886364,0,0.157480315,0.093023256,0.157480315,1.40625,0.521116679,0,0,0,1.196022727,0.343526827,0,0.342296512,0.186046512,0.342296512,0,0,0.250503571,0.093023256,0.157480315,0,0,0,0.363636364,0,0,1.197253042,0,0.592800082,0,0.499776827,0.363636364,0,0,0,1.841569767,0.15625,0.15625,0,0,0.186046512,0,0.093023256,0,0.363636364,0.186046512,0.093023256,0.405523256,0,0.622596594,0,0.15625,0,0.15625,0,0,0,0.250503571,0,0,0,0,0,0.612909619,0.249273256,0.31496063,0,0,0.46875,0.186046512,0.15625,1.196022727,1.403409091,1.563730315,0,0,0.3125,0.313730315,0,0.093023256,0,0,0,0,0,0.093023256,0,0,0.15625,0,0,0,0.250503571,0,0,0,0,0,0.157480315,0,0,0.521116679,0,1.841569767,0.15625,0,0.528343023,0,0.3125,0,0.435319767,0,0,0.15625,0.157480315,0.342296512,0,0,0.186046512,0.833616679,0.093023256,0,1.538319239,0.093023256
39,1.609587653,0.250597692,0.591236193,0.565014948,0.225821796,0.059698948,0.226535068,0.099464832,0.194314574,0.337236037,0.640004345,0.260234464,0.120837073,0.07675827,0.26704861,0.313494256,0.125379665,0.112762116,0.183534283,0.048615799,0.018500727,0.475652335,0.173933045,0.150918807,0.319754438,0.28536425,0.053128258,0.131434863,0.063099513,0.326671145,0.164882252,0.546351658,0.033051066,0.035099954,0.186734315,0.220413766,0.197307903,0.141659693,0.122016241,0.158787307,0.048117204,0.357345442,0.082175747,0.08567579,0.14022777,0.118253795,0.206312339,0.485906098,0.106979245,0.13087637,0.108632784,0.072374817,0.25189536,0.071438712,0.329595005,0.160213757,0.361438609,0.660867922,0.110022418,0.244144955,0.361959918,0.670728779,0.193530479,0.198041911,0.018107703,0.020265567,0.521984314,0.196313889,0.047017858,0.206358083,0.194977645,0.019083661,0.887565528,0.069699026,0.539681441,0.063120257,0.392654324,0.818663205,0.34631016,0.160271387,0.345745938,0.32172348,0.207248968,0.227570439,0.061009018,0.067998849,0.254371808,0.054376557,0.355120066,0.272239417,0.329748948,0.17802002,0.160839881,0.32949935,0.129960407,0.379209069,0.094417533,0.266468746,0.11955258,0.028430845,0.040571394,0.039166155,0.391559497,0.045477668,0.96932245,0.449468405,0.174112996,0.069041374,0.048309692,0.169456358,0.009796157,0.490899249,0.154792467,0.093965739,0.127662295,0.080062192,0.18218421,0.046347616,0.378086605,0.095474609,0.105965429,0.192264667,0.028211325,0.248939589,0.178996202,1.015343245,0.518979948,0.158894104,0.273675593,0.04150406,0.107389653,0.038872402,0.319883603,0.169987899,0.182988717,0.18496463,0.058471536,0.032217198,0.178448633,0.354351705,0.305111998,0.280211356,0.0968222,0.229208888,0.123119214,0.231329691,0.212461055,0.058172764,0.223182353,0.332513943,0.096023888,0.106610819,0.112310081,0.267608442,0.053381072,0.422574649,0.066916424,0.3697503,0.043404059,0.144481798,0.135534221,0.413502082,0.163904979,0.165919268,0.28531649,0.214828534,0.106680845,0.07411441,0.378165548,0.060332292,0.056723013,0.055984677,0.182815614,0.056685442,0.279543771,0.189192304,0.084379384,0.317879894,0.094416424,0.92143982,0.086617452,0.331581484,0.153111415,0.411677096,0.459641902,0.18471577,0.229574201,0.097631041,0.126131635,0.296832557,0.121226815,0.439836996,0.013776519,0.07105514,0.558617899,0.171711289,0.311558235,0.188907806,0.848619165,0.254174798
50,3.971874477,1.763612062,1.089668073,0.521898007,0.355640047,0.062263152,0.166151724,0.178603736,0.099801465,0.369069291,0.194727295,0.1741179,0.18237829,0.130780106,0.283126854,0.391078137,0.097288908,0.248422693,0.098261129,0.10104142,0.021980591,0.422820347,0.170031058,0.24395779,0.405781414,0.49071192,0.154458458,0.167988782,0.083736514,0.17242589,0.168526046,0.108512093,0.083362878,0.120285186,1.036926589,0.16655715,0.452138742,0.042611394,0.074158711,0.019570496,0.033557305,0.180621921,0.163215771,0.119713975,0.114232038,0.106906941,0.139889143,0.368246635,0.071828513,0.164348608,0.328873967,0.055933866,0.207178822,0.218960679,0.310117061,0.274972132,0.164753751,0.489663762,0.123868156,0.05243051,0.226962125,0.464497898,0.174185543,0.234377102,0.037710467,0.052568613,0.446113568,0.23922238,0.098368122,0.313443202,0.227340233,0.030587283,0.093200278,0.136751853,0.450043719,0.099750325,0.303192706,0.215350185,0.089287124,0.055691631,0.258588841,0.334586527,0.075441353,0.253254538,0.055931228,0.071962175,0.201539451,0.088161018,0.295016605,0.553585337,0.190718121,0.12464952,0.327866196,0.222089454,0.112873618,0.5274567,0.110695764,0.053337822,0.082514678,0.106207697,0.095887922,0.053450637,0.297301499,0.113571017,0.696831738,0.314048861,0.09466322,0.071046838,0.078238061,0.213436325,0.010918623,0.318228599,0.040962922,0.111019971,0.072541317,0.067692913,0.253110295,0.203715488,0.221646982,0.110431708,0.129285889,0.230236909,0.031882276,0.1531151,0.260077896,0.74544634,0.311511067,0.037656365,0.138863016,0.098419271,0.065118478,0.10999312,0.279061932,0.163637957,0.072668715,0.237464417,0.121612684,0.079194023,0.114614481,0.363587998,0.474710384,0.221825943,0.111918067,0.369305687,0.380186025,0.211490914,0.247177918,0.076835948,0.187407395,0.28962551,0.228077396,0.092039507,0.110698458,0.38934948,0.152376536,0.263448504,0.136712966,0.074479976,0.049514258,0.174928393,0.103000517,0.374454252,0.249450047,0.252290922,0.224421537,0.149901076,0.10155636,0.170773044,0.37523668,0.031504834,0.093892942,0.117687336,0.079645971,0.074960575,0.412529427,0.096459064,0.066917516,0.144436045,0.030988977,1.696802549,0.151747963,0.282292877,0.260512265,0.109821293,0.647405936,0.281639288,0.333599855,0.087750928,0.134889184,0.340077262,0.224251558,0.42682889,0.118604849,0.102973186,0.461468907,0.163221148,0.296629696,0.028711252,0.719146424,0.157713166
50,1.460933355,0.573159887,0.356065579,0.271306101,0.241438185,0.007502529,0.181729307,0.104394977,0.233530986,0.248833727,0.261452874,0.161717734,0.125292208,0.12165505,0.177689105,0.297459936,0.106512165,0.174373064,0.107582495,0.084186511,0.024417962,0.323999186,0.205872808,0.243183009,0.288514084,0.188930362,0.112777063,0.140254649,0.046136258,0.247661858,0.157194854,0.107380246,0.066650981,0.092051425,0.3308295,0.251300165,0.323352844,0.093915243,0.081726366,0.042038751,0.072238468,0.19698763,0.129349082,0.113441136,0.108558706,0.072676186,0.150059034,0.427356615,0.065146866,0.153727203,0.269133476,0.040638965,0.328499177,0.128719392,0.610403937,0.302646377,0.168183403,0.492247959,0.146791955,0.1194751,0.2740599,0.222237232,0.299270282,0.173636579,0.023573654,0.102146312,0.302307038,0.184165609,0.150187014,0.318454356,0.234030947,0.033885671,0.102300763,0.097161917,0.526946732,0.071349105,0.371610536,0.137287062,0.220767054,0.043562396,0.296363909,0.337997738,0.22465983,0.273066876,0.081555646,0.0409588,0.254019345,0.127690286,0.275612925,0.389881983,0.249617922,0.20083872,0.428792268,0.281103932,0.149901343,0.458457358,0.151213354,0.080367933,0.21551363,0.064993888,0.083545063,0.043750369,0.304792849,0.094720044,0.691367598,0.388558311,0.191916674,0.033276844,0.081890135,0.206275206,0.007113014,0.34888368,0.106616816,0.103409415,0.122899,0.09158823,0.348704343,0.054687993,0.485817053,0.151621548,0.077041094,0.246766317,0.057906262,0.168853995,0.332367886,0.888725279,0.554569789,0.065421997,0.169103637,0.069423948,0.118944111,0.11867058,0.324185473,0.107992612,0.233266189,0.205299429,0.110592091,0.054862464,0.12774968,0.21324281,0.298361852,0.190313746,0.122621612,0.30954021,0.203700254,0.324668938,0.322515124,0.034973145,0.19327101,0.271365819,0.127003448,0.075574533,0.051535122,0.215137261,0.092428064,0.184717487,0.074114408,0.074259085,0.062631564,0.19182625,0.143758782,0.353496368,0.308800478,0.215836879,0.295777201,0.207082962,0.083598864,0.262347794,0.405453186,0.091078424,0.066991684,0.073998632,0.08037802,0.127564084,0.332337772,0.134403425,0.051448043,0.094162064,0.049509831,1.154994149,0.128523282,0.240333304,0.216352847,0.117336167,0.547112748,0.154843562,0.197192585,0.095208837,0.101862845,0.263194673,0.35819222,0.605193244,0.134994072,0.17589371,0.343395771,0.093295078,0.252353451,0.079769431,0.654972654,0.3914516
60,1.642870794,0.111904607,0.379786703,1.00525804,0.247181616,0.037610213,0.076304631,0.061669047,0.548766962,0.098807253,0.164502993,0.043331204,0.103834576,0.083952646,0.366730542,0.496656795,0.225366936,0.106047925,0.045566769,0.18116437,0.20760795,0.253277688,0.334396243,0.141659605,0.612224212,0.078241356,0.02489862,0.06191385,0.150721001,0.149259193,0.384673782,0.236586543,0.186893913,0.136723374,0.192573776,0.130539692,0.273724669,0.00819605,0.122566478,0.21576481,0.093568314,0.308272428,0.016029089,0.042517007,0.107456981,0.074371655,0.120858106,0.443121713,0.055286329,0.206951262,0.063794933,0.048241346,0.463299948,0.1171609,0.427804066,0.201400435,0.232448691,0.624355884,0.013207929,0.059083393,0.203105872,0.132790776,0.017978216,0.258598993,0.096135803,0.030921459,0.286487588,0.066996254,0.052326443,0.489787831,0.017019775,0.038877379,0.248417165,0.123909526,0.49237103,0.135457692,0.301011349,0.073006359,0.257455974,0.202032998,0.104084668,0.356995187,0.153244641,0.171211555,0.012835323,0.217027746,0.239778677,0.051212214,0.218199591,0.151512119,0.172789385,0.151292405,0.355066694,0.342560227,0.073345114,0.430263931,0.097789336,0.152718056,0.36248632,0.070406872,0,0.089543393,0.581577842,0.013605442,0.664354028,0.392784241,0.042243847,0.086588273,0.042652614,0.159390043,0,0.332701493,0.071937042,0.047814192,0.136763603,0.027210884,0.285589617,0.100915381,1.101505447,0.122345595,0.073018967,0.194253963,0,0.111035682,0.444639425,0.728484185,0.726557928,0.154705427,0.133482687,0.126671366,0.095300142,0.01079797,0.186048021,0.092858592,0.189048436,0.118326167,0.056122449,0.16516163,0.17742023,0.217708219,0.481560753,0.064050604,0.187238988,0.405981765,0.259072771,0.272134018,0.652427102,0.197667075,0.377331796,0.286373713,0.148751092,0.067727975,0.221238643,0.44744631,0.024863705,0.13074711,0.144842383,0.294174515,0,0.206548174,0.122736821,0.422147721,0.117141766,0.116345618,0.224625571,0.126852319,0.033339829,0.057565681,0.390602237,0.035049432,0.160250821,0.007130414,0.172301454,0.026239067,0.474836828,0.141942841,0.160464844,0.16035556,0.037505491,0.752345011,0.115629258,0.224487027,0.178795366,0.101029736,0.411282817,0.065477237,0.23955709,0.193499033,0.077088152,0.524315549,0.051226455,0.671155411,0.032859607,0.042517007,0.185998236,0.321652928,0.219320759,0.226267659,0.747237344,0.97196458
46,1.754385965,0.584795322,1.169590643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584795322,0,0.584795322,0.584795322,0,0,0,0,0,0,0,0.584795322,0.584795322,0.584795322,0,0,0,0,0,0.584795322,0,0,0,0,0,0,0,0,0,0,0,0,1.169590643,1.169590643,0.584795322,1.754385965,0,0,0,0,0.584795322,0,0,0,0,0.584795322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584795322,0.584795322,0,1.754385965,0.584795322,0,0,0.584795322,0,0,0,1.169590643,0,0,0,0,0,1.169590643,0,1.169590643,0,0,0,0,0,0,0.584795322,0.584795322,0,0,0,0,1.169590643,0,0.584795322,0,1.169590643,0,0,0,0,1.169590643,0,0,0,0,0,0,0.584795322,0,0,0,0,0,0.584795322,0.584795322,0,0,1.754385965,0,0,0,0.584795322,0,0.584795322,0,0,0.584795322,0,0,0,0,0,0,0,0.584795322,0,0.584795322,0,0,0,0,0,0,0,0,0,0,0,0,0,1.169590643,0,0,0.584795322,0,0.584795322,0,0,0,0,0,0,0,0.584795322,0,1.754385965,0,0,1.169590643,0,0,0,0,1.169590643
2,2.593545033,1.491323375,0.475391951,0.364640383,0.244043977,0.054726119,0.147215982,0.238898338,0.107843794,0.477015895,0.210339101,0.256838823,0.175472707,0.192753127,0.277925694,0.35077073,0.034710637,0.264665604,0.147375295,0.107101668,0.033826524,0.546896389,0.24512447,0.453019374,0.24217773,0.581964102,0.141500687,0.25776981,0.04774407,0.247605015,0.112671937,0.642452493,0.069548537,0.032357432,0.58591376,0.247596024,0.17466968,0.12670008,0.207593393,0.068433503,0.176974288,0.448498934,0.202816368,0.136366414,0.141384934,0.133624443,0.340948586,0.396530475,0.150660738,0.172425849,0.281877408,0.024130902,0.224004015,0.185340264,0.668197925,0.176070479,0.358030189,0.362412755,0.358146216,0.296384525,0.370517279,0.411664952,0.13485598,0.136269232,0.006637723,0.059073642,0.587446869,0.191920752,0.101707665,0.215160281,0.414172391,0.045578055,0.126500476,0.05701504,0.391640902,0.062383271,0.308183594,0.169225413,0.373062843,0.167017101,0.266814606,0.334039456,0.166825337,0.403175679,0.03221014,0.05670516,0.176239213,0.116743568,0.492002591,0.34498418,0.251043875,0.159231596,0.191279482,0.235754868,0.225201104,0.415102594,0.110620057,0.309045934,0.224676074,0.031559872,0.121773171,0.032580077,0.283716588,0.11829043,0.835836921,0.481163421,0.201882868,0.031383136,0.158894023,0.202085248,0.007721588,0.494789941,0.109813254,0.211809774,0.093346884,0.085435279,0.407335709,0.049393862,0.323411603,0.141045262,0.127006358,0.415777345,0.054097036,0.18910208,0.28431541,1.059667257,0.504987479,0.076174238,0.339487605,0.061586957,0.167695522,0.061510349,0.291219295,0.217431054,0.127962227,0.226365523,0.122846454,0.06078602,0.169305583,0.328998116,0.387617008,0.297786658,0.158129776,0.320358722,0.154690475,0.330340403,0.211269389,0.036123008,0.18214287,0.253315033,0.093428137,0.19263478,0.060664682,0.213505211,0.046920211,0.475209525,0.096428308,0.291354446,0.077250565,0.349879803,0.142415882,0.417265377,0.15499981,0.252548943,0.291212417,0.377352898,0.111815695,0.231880159,0.325040946,0.072497331,0.249148298,0.080182526,0.163888002,0.160076984,0.29873365,0.106079388,0.041234866,0.171563828,0.104722284,1.505775535,0.249577857,0.288503232,0.392959924,0.488908767,0.645391591,0.28310717,0.427547397,0.114237907,0.163333914,0.243599035,0.187224943,0.583611586,0.072814538,0.201141766,0.659251564,0.077775105,0.22491232,0.102449078,0.674047108,0.21711735
0,8.043298238,4.224942539,1.545112427,1.496237168,0.631789699,0.278391554,0.161482261,0.143664206,0.046757067,0.100351803,0.04515144,0.129886789,0.073073856,0.070601852,0.210192752,0.173337379,0.119149482,0.059781945,0.130355106,0.005723443,0.087108014,0.936212802,0.102842689,0.043571398,0.345270195,0.682431403,0.055942431,0.169279885,0.045289855,0.445291485,0.256500487,0.007284382,0.038749565,0.069521691,2.845931566,0.261321144,0.097240097,0.06127451,0.00667735,0,0.160998338,0.445848126,0,0.010964912,0.105218855,0.114861562,0.166996308,1.402395684,0.29376125,0.084658092,0.068530574,0.053676865,0.207063734,0.074041193,0.419798854,0.144102191,0.165245152,0.636444396,0.046787805,0.065445868,0.12844934,0.106564365,0.155242643,0.157217469,0,0,0.522186889,0.159977533,0.204348547,0.725307723,0.037048235,0.069521691,0,0.087316176,0.697652186,0.188135118,0.315430212,0.078294095,0.370197524,0.106933449,0.373566562,0.26226455,0.060976405,0.058487971,0,0.013923962,0.210894823,0.010964912,0.271864711,0.220559523,0.422544356,0.005723443,0.100387991,0.178309092,0.438999211,0.352330844,0.038719331,0.005723443,0.240609064,0.069521691,0.010964912,0.020032051,0.568801193,0.084640216,1.776244514,0.9509615,0.346712735,0.144720162,0.036894047,0.005723443,0,0.47819246,0,0,0.079276481,0.033048658,0.402709118,0.207287999,0.077068697,0.115604426,0.119606366,0.35035441,0.005723443,0.454800868,0.126432707,1.312987243,0.745784732,0,0.123755708,0.075245134,0.05787037,0.00701459,0.753360602,0.065953009,0.021749084,0.369041916,0.010964912,0.075245134,0.166103506,0.2480322,0.521638477,0.215909267,0.11043745,0.480286003,0.125228213,0.082373535,0.122755331,0.083445653,0.02902058,0.8283414,0.081571957,0.03125,0.29852469,0.212225362,0,0.154945904,0.075245134,0,0.06127451,0.170767688,0.095741422,0.44248975,0.048070441,0.359116302,0.372681661,0.005723443,0.07192829,0.104597999,0.219195625,0.011446886,0.065154753,0.033602151,0.104298601,0.005723443,0.184603707,0.015096618,0.114994578,0.183742594,0.065445868,1.414565402,0.010184646,0.428453681,0.206304537,0.025535807,1.127642161,0.078289821,0.13192151,0.009735202,0.038580247,0.433342308,0.114985821,0.669831147,0.012907351,0.010964912,0.694058951,0.103378078,0.253193194,0.050828988,0.617020465,0.085615138
1,1.413569334,0.441488899,0.34357314,0.397025814,0.231481481,0,0.195360195,0.038314176,0,0.493744581,0.412596118,0.263193597,1.22875817,0.067340067,0.050505051,0.032679739,0.026455026,0.033167496,0.059134765,0.032679739,0.026455026,0.880919405,0.10261194,0.092433772,0.212849466,0.448511411,0.032206119,0.160407494,0.079824116,0.177542264,0.050505051,0.192843467,0,0,0.206848523,0.390273041,0.089186176,0.128846508,0.114691535,0,0,0.622820927,0.0304414,0,0.033167496,0,0.032206119,1.194079985,0.185185185,1.204066812,0.14935987,0,0,0.157154673,0.244757007,0.370593757,0.267310789,0.19463764,0.051673091,0.018993352,0.244200244,0.286860789,0,0.069444444,0,0.148148148,0.399476268,0,0,0.12810559,0.256699546,0,0.096618357,0.114709852,1.153815519,0.026455026,0.267451837,0.310945274,0.853350358,0,0.179866688,0.387666058,0,0.256699546,0,0.052910053,0.1671415,0,0.830336745,0.175649259,0.226682796,0.211757044,0.614980647,0.533967576,0.407798447,0.220601025,0.376915257,0.079463792,0.050505051,0.045448379,0,0,0.103415103,0,0.862936267,0.432591555,0.350877902,0.026455026,0,0,0.071684588,0.347044692,0,0.248316498,0.041928721,0,0.120643916,0,0.076628352,0,0.026455026,0.273996774,0,0.27685899,0.119949495,0.876610499,0.061919505,0.148148148,0.186849742,0,0,0.113017429,0.375969265,0.098053354,0,0.150214202,0,0,0.193236715,0.091814504,0.230414747,0.114691535,0.041928721,0.167584059,0.018993352,0.146072797,0.081640872,0.052910053,0.079365079,0.49761398,0,0.074074074,0,0.088491755,0.037986705,0.082485416,0,0.319542901,0,0.096618357,0,0.767848657,0.268467768,0.081588835,0.267482645,0.101435315,0,0.033167496,0.591649908,0,0,0,0.093067426,0,0.140018698,0.018993352,0,0.15624088,0.043572985,1.148240577,0,0.35324581,0.370733479,0.167955547,0.897469757,0.273421694,1.174595358,0.170940171,0.09901473,0.098139614,0.282206119,0.557224871,0.148148148,0,0.437568169,0.076960077,0.294576539,0.050505051,1.567027468,0.105868119
11,1.097995355,0.204723559,0.330218816,0.154889616,0.265793277,0.026226069,0.214284557,0.247610404,0.009453583,0.629840191,0,0.142682394,0.134978063,0.047378096,0.339150989,0.352582947,0.062539087,0.03534818,0.341598205,0.052134823,0.062539087,0.32374467,0.360435166,0,0.369757103,0.047130906,0,0.075550862,0.033757658,0.203607415,0.49280128,0.124274011,0.038733886,0.008742023,0.161000923,0.214844452,0.241891286,0.009344921,0.130213213,0.011450819,0.10582128,0.121272997,0.066018705,0.120354839,0.020325203,0.209270334,0.644199864,0.68416446,0.240680728,0.133910501,0.1702878,0.035253691,0.044972432,0,0.595183815,0.672576169,0.143820909,0.573138487,0,0.31959836,0.217416602,0.065169699,0,0.065027201,0,0.081699346,0.503672162,0.096408822,0.07390983,0.241765718,0.339036206,0,0.058339602,0.09655656,1.353276313,0.166297882,0.151911097,0.036133695,0.091457164,0.022205908,0.248864436,0.340346686,0.068990669,0.405019474,0,0.065027201,0.256250305,0.048031146,0.300287521,0.15654546,0.150891585,0.064995809,0.092071434,0.410366909,0.415900735,0.46987351,0.639118574,0.029214598,0.012507817,0.016462274,0.037607964,0,0.210885177,0.009344921,0.539952673,0.311817332,0.132226672,0.107194606,0.031426776,0.043946385,0,0.17890853,0.183935159,0.045167118,0.008296001,0.065962858,0.201137184,0,0.151829639,0.157810834,0.053807689,0.287267177,0.06097561,0.171413252,0.123310765,0.397630646,0.307736978,0.028034763,0.357140753,0,0.172030305,0.306500458,0.307865218,0.122741458,0.14165717,0.179272137,0.151624383,0.050665724,0.048155097,0.440845291,0.320250669,0.486713275,0.103840104,0.357003119,0.299153775,0.082575433,0.345680354,0.065027201,0.107384071,0.298968833,0,0.131224257,0.096803223,0.532233419,0,0.488653275,0.027100271,0.050240671,0.105179373,0.077933303,0.083901004,0.431155198,0.514465075,0.227296773,0.273676748,0.091720946,0.060425879,0.119076948,0.313394538,0.011782727,0.098936014,0,0.109288489,0.027100271,0.373814451,0.015055706,0.069547778,0.012904891,0.138906974,1.17386463,0.104132315,0.419116228,0.026226069,0.119788448,0.627488796,0.475975761,0.220097238,0.125597601,0.012507817,0.251995644,0.122244195,0.34709957,0.033875339,0.104720068,0.405349255,0.234791435,0.227427045,0.144326605,0.619107062,0.165515649
